textID,text,sentiment
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,positive
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral
fa2654e730,Chilliin,positive
187494c25b," If you know such agent, do let me know",neutral
4213627c3c,I still smell of smoke  #kitchenfire,neutral
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,positive
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
b2c9f115b1, My sources say no,neutral
0a61cbf4b5,I am sooo tired,negative
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",neutral
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,positive
cb4d439ebc,fell asleep waiting for my ride!,neutral
64ed512788,Sick. With a flu like thing.,negative
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,negative
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,positive
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,neutral
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative
b63ed6da62,eating ice cream and then getting ready for graduation.,neutral
4c41a35a2a,Happy Mothers day to all you Mums out there,positive
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative
447dc22c81, hemp cloth is marvelous but unfortunately no,negative
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,neutral
92e1b6846e,We saw that in none 3D - the baddie`s the best,positive
2207d982bc,4am. And Im on the beach. Pretty,positive
15e01e1749," Certainly not Cheers than, huh?",neutral
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,negative
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral
d0d3c6f298, cool i wear black most of the time when i go out,neutral
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
a05aea73d7," woof, I wish I was allowed to go",positive
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral
f0c1601d8b,  has tickets.......?,neutral
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,negative
401869d615,graduation is done  im a little sad.. anyone want to hang out???,negative
9843c4688e, hahaa your awesomee !,positive
87fbf14655,holy smokes! star trek was freaking awesomeeeee,positive
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",neutral
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative
f0460d611d,not well,negative
6649f3558c, Not a prob hun,positive
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",neutral
8e1583cb08, Absolutely,neutral
4ea61dbc7a, what`s the matter chickadee?,neutral
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,positive
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive
974b35f889, =O you need to ask him something? Lmao I love him too,positive
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative
504539e6ec, why are you sad?,negative
6903cb08f2,Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral
cb1b0d191d,"missed all the awesome weather, because she was in a movie!",negative
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.",negative
7e4ed52c4a,Hate fighting,negative
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral
48cdcd5f28,Car-warmed Sprite tastes like sore throat,negative
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral
ae71041e21,Candle wax is very enjoyable.,positive
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
fd285fe74a, me too. I hate my computer so much..,negative
a5a1c996c0,fine! Going to do my big walk today 20 or so miles,positive
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative
b948984e8d,Mmmmmmmm... ? it in the morning,neutral
6824c44c21, me neither,neutral
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
5f93cc70ff,Bugger. forgot I still have washing in my machine,negative
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive
e4e9b8713a,My back hurts...really bad,negative
08975f62a8," ah yes, I know that feeling",neutral
4a1ce7dc3b,Night of the cookers with my dad,neutral
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative
abbd0db2a5, Nope I am in Coquitlam,neutral
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,positive
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
f3d95b57b1, good morning,positive
5e4eac2b2e, its the best show EVER!,positive
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,neutral
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative
8d09044937,i need to get my computer fixed,neutral
9d3a1e0269,really hopes her car`s illness is not terminal...,negative
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral
5a254fbb98, no sir...i woulda put honey...but i don`t have any,neutral
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,positive
2bf5c7dba7,I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
8407ac30b0, I`m sad that I missed you guys last night!,negative
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral
97625460cf, ok then,neutral
32e4ffe225,_420 why baby?,neutral
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,negative
9b11b686ec,happy 1 year! <3,positive
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative
ef12a3d183, i talk to you,neutral
f0db54f5bf,im soo bored...im deffo missing my music channels,negative
e651d415c6, nite nite bday girl  have fun at concert,positive
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,negative
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative
287755c5dd, I`ve heard this fall. I`m waiting too!,neutral
58c435d2cf, more nightmares?  *huggles*,neutral
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
01b2476dd7,going to bed its late and I have headache,negative
e02cf4af4c,happy mother`s day to all moms out there...,positive
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,neutral
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,positive
b6b35af246, thanks. before the major chop.,neutral
375e74d063," Haha I know, I cant handle the fame!  and thank you!",positive
4700be3234,just got up and updated my ipod,neutral
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,positive
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral
2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,neutral
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
ca832cad51,Feeling smooth like chrome,positive
a8734230b6,Ew traffic,negative
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,neutral
f84b89a828, Sounds like me,neutral
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
242d92151a,Walking to class. I hate not having a bike....especially mine.,negative
f3a77c2b5e,_nesmith,neutral
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
7b1927e748,happy mother`s day to all the mothers in the world.,positive
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
148ac38bea,Yes i work 6 to 3...,neutral
641555ac70," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
4bda359cbb,Done at the spa   now meeting vic for some late lunch!,neutral
ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
1af124bc1c, Always have wanted to go to Oz,neutral
e98226e842, Thx,neutral
85ec413e54,http://twitpic.com/4jaz5 - Cool... luv it,positive
7df7221145,  that`s why I need to be there...To represent the Blackberries,positive
0ab8f9c4bc,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
06cad97de6, If only we could ever actually be allowed to stay here and do that,neutral
37f6bd5ac5, Let me know how that turns out!!,neutral
9bef0d7135, was that sass I detect?  As long as it isn`t back sass! Haha,neutral
7436ec1a2c," yeah I was thinking about that ,ahaha",positive
cf10e9309a,Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
ce69e99e71,I`m not sleeping at all until  accepts my appology,negative
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative
914c40995f," I live for pain, bring it on",neutral
258f37341e,"okay, i`m out for a while  back later!",neutral
77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive
5bcc50c275,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
7e3c091fc2,going to shower because i don`t want to smell at school tomorrow,neutral
869bb56451, Sigh... you know I am...,neutral
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive
251aa82551,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral
8e0a0ffbe1,just got home from work.... and is chugging down a big bottle of apple juice.,neutral
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
dbe1d16b29, it was only once for my big brother...and I`m done now,neutral
7809dd704a,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,positive
2ece7f3810,  hope he is ok!,positive
ba309a37d1,can`t school just be done already? it hurts too much... seeing him every day,positive
84ca20505a,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
de8c4c410d, Hell Yeah!,neutral
e33d5ceea2, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
394881b7d0, i know!!,neutral
52d8be9124, huh what the ****? Smelly? Noooo. I love alex Vixon,neutral
dabe649ee3,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
2a5bb8d827," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
dbbbbe6059,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
894e188d01,HAPPY MOTHERS DAY.!,positive
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
89d5b3f0b5,  Thanks,positive
fe0abe1754,twittering after 2 days!,neutral
1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,positive
02c004bc2d,I am tres depressed,negative
b4d5f1e13e,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
80481307d5,Happy Mothers Day people. i love my mom a lot still,positive
05a0e60f99, I`m sorry to hear that.,negative
e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
a2cf6cc397," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
53e78f3f89,Is getting the hang of Twitter.,neutral
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
2dd0cddb70,I want it BACK NOW!: http://bit.ly/PP1WZ,neutral
e3a1b65ef3,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
7ae37ef593,"bathing with two little angels, Keyla and Janice.",neutral
73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative
f5b15be6f6, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral
68bda81bb9,"Family is here,hanging with them",neutral
59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
e3731b6ce8, what`s goin on hun?  I`m worried about you,negative
b09362ee8e,Im not bannished... but I am at work till 6,negative
c4f9792d55," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
20d4300a14," red top tabloids, build em up, knock em down",neutral
7b69f49c42,tonight in party w/ my girls (minus vita),positive
519a5d3be7,  why not now you made me sad I thought you`d be jumping for joy,neutral
aa97eca66f, Simple my a#@,neutral
d3230b7cfd,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
294df18b9f," I saw the play of it here, it was amazing",positive
e5e2d9d1f3, _ i am glad to break my twitter virginity with you two.,positive
b7a9ba95d0,Dinner with the fam... I have missed them,negative
6943d0f480,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral
9e047ed52a,Hell yeah Kellynn got a Twitter. Finally.,neutral
a54d3c2825," I know   It was worth a shot, though!",positive
5b578d0b4c,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive
c4ab28566e,Ship. I`m stuck.,negative
162a2510d2,DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
c25871ec9e," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative
fdb77c3752,So true.,neutral
ddd4dd7be4,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral
d2af698d65,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
1594011c6d,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
bb61a7094b,today is a busy day. exhausting!,negative
454ea2153b," I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral
b5dd587dd2, Sorry to hear ur flight got cancelled  that blows!!!,negative
e5160216a5,ohh my tooth is hurts ohh  im sad it very hurts,negative
ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
5680a0b488, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative
ed6c2e4824,Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral
a8f2acd515,sore throat. Planning the TET outing to Marwell though...good times,neutral
e9f7f78cfa,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
4c71b5fb91,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
be8544ffb1, There!,neutral
0404648e1c,?sucks!?..,negative
e136c0f2af, whens the sway sway winner announced?,neutral
032e865dc7, K will check it out...,neutral
d723ea3299," doing pretty well, up and wide awake",positive
3d208b8e59,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
f1f5e8edfa,I Miss Daddy and Mommy,negative
51f4502988,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
728c29215f,I just realized that I can`t forward text msgs with my iPhone.,neutral
c9091836ce,"My frist post... Off to find a new car for my parents, exciting!",positive
9668542b2a,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
cd5d081760,seriously bored without anyone to talk to... but not tired enough for sleep,negative
061eb4c0de, I am lost. Please help me find a good home.,negative
c20cb786c4,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral
7733e8541a,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
58eda20efc, LMAO... Smh!  that one threw me off.,neutral
2f5c77dfb3, oh nice going!,positive
4646623c1d,Is getting ready for work... Working all weekend,neutral
a97db072ed,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
f3117413cc, i agree with you!,positive
59cb0c3a14, I only do computers. Am hopeless at everything else,negative
322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive
7179c215a7,_2nd aww thanks!,positive
1f581d48bc,Sorry RB is on PS3 for me,negative
c42982a22d,I saw amazing heeels. But they were too big,neutral
9191e574bb,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
f4e428e4b3,dang last url went down  ? http://blip.fm/~7aigm,negative
1ee0b44db0," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative
4095d52d2d, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
4491189459, my boss. She`s moving to NYC,neutral
e8be898842,this is sooo crazy i have fever..,negative
9b388b2cd9,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative
3d1238a2f0,I think i need some new friends,neutral
98ff5a440e, Looking forward to your gig in Ireland!!!  See ya there!,neutral
b94aaf845e,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive
95d0ad2e17,aww  you loooove me,positive
b8e58e1a21,"is hungry, twitter.  i want food. </3",neutral
39923bb286,awesome lucky you,positive
b751f39570," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral
