Cleaned Tweet,Original Tweet,Predicted Label,Actual Label
 hey you **** thats kinda mean dont yu think?, hey you ****!! that`s kinda mean dont yu think?!,0,-1
_houdin blind faith. thats a crack-up,_Houdin blind faith. Thats a crack-up,0,-1
 how inconsiderate, How inconsiderate!,0,-1
 what?? cant believe it, what?? can`t believe it,0,-1
"nooooo serena and darrian dont remember each other, and ive been waiting all day to see them confess their love","NOOOOO! serena and darrian don`t remember each other, and i`ve been waiting all day to see them confess their love",1,0
ha got a degree in bs.,has got a degree in BS.,0,1
i concur with  it priority on today to do list  ,I concur with ! It`s priority on today`s to do list  http://twitter.com/karasw/status/1695368792,0,1
the date of the hockey game were confused theyre next week,the dates of the hockey games were confused they`re next week,0,-1
karaoke at a small town bar. having a wonderful time,Karaoke at a small town bar. Having a wonderful time!,0,1
"i care about eurovision and yes, they have a 50% jury-based vote this year  ","I care about Eurovision! And yes, they have a 50% jury-based vote this year  #eurovision2009",0,1
nothing like home-made paranthas for breakfast,Nothing like home-made paranthas for breakfast,0,1
please dont vote for her out of sympathy  ,Please don`t vote for her out of sympathy!  #BGT,0,-1
"colleague that 'helped' by creating his unit site in iweb wa not helpful. trash code, 24 cs file for a 4 page site, no optimizing.","Colleague that 'helped' by creating his unit`s site in iWeb was NOT helpful. Trash code, 24 CSS files for a 4 page site, no optimizing.",0,-1
haha wow there a song called hit me on twitter lmao. okay gnight,haha wow there`s a song called `hit me on twitter` lmao. okay g`night,0,1
def want to cuddle it out maybe play but ha no one to do it with the bc is far away,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away,0,-1
watching my fav movie...two can play that game 'ever notice how men start to act up around spring time?' shante smith,Watching my fav movie...Two Can Play That Game! 'Ever notice how men start to act up around Spring time?' Shante Smith,0,1
" no, im in the u for the weekend not the uk"," No, I`m in the US for the weekend not the UK",-1,0
 yeah... i guess my password wa also changed... i wa not able to login my fb  cahnge my pw again ...ufff, yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff,-1,0
**** being broke on the day guitar hero metallica come out  boooooooo,**** being broke on the day Guitar Hero Metallica comes out!  Boooooooo,0,-1
fucken tired a ****  it sunny.. good day? deffff,fucken tired as ****  it`s sunny.. good day? deffff,1,-1
" not so awesome now, huh? lol"," not so awesome now, huh? LOL",1,0
"sometimes i wish i were a man, i could pee were i stand, and scratch my chest, but instead? here lie a breast  hah","sometimes i wish i were a man, i could pee were i stand, and scratch my chest, but instead? here lies a breast  hah",0,-1
 thats actually not that fun a you would think... i wa hurting for a week after a similar experience., Thats actually not that fun as you would think... I was hurting for a week after a similar experience.,1,-1
apparently it star war day today - so may the 4th be with you  ,Apparently its Star Wars Day today - so May the 4th be with you  http://tinyurl.com/axsujx,1,0
"i thought follow friday wa about gaining new friends, not losing them.","i thought follow friday was about gaining new friends, not losing them.",-1,0
startin to get a head ache uuuggghh,Startin to get a head ache!!!! Uuuggghh!!!,0,-1
wish it wasnt raining,wish it wasn`t raining,0,1
 dont leave u, don`t leave us,-1,0
 omg i dont blame you hope you didnt hurt him too bad, omg! I dont blame you! hope you didnt hurt him too bad,-1,1
 it cloudy and damp over here too. i hope it doesnt rain for tonites track meet  id hate to do interview in the rain, it`s cloudy and damp over here too. i hope it doesnt rain for tonite`s track meet  i`d hate to do interviews in the rain,0,1
_lokelani  i have no idea,_lokelani  i have no idea!,-1,0
 britain is ****, britain is ****,0,-1
 i have trouble updating, I have trouble updating!!!,0,-1
why did sound input for my computer stop working?  it not the mic or jack (usb webcam mic doesnt work either) checked input controls.,Why did sound input for my computer stop working?  It`s not the mic or jack (USB webcam mic doesn`t work either) Checked input controls.,0,-1
i loveeee ny getting breakfast then gonna go mimis im sooo tiredddd missing him odeeee love you,I loveeee NY! Getting breakfast then gonna go mimis I`m sooo tiredddd! missing him ODeeee! Love you,1,0
"need a tickettttt  gah. ya youve got me on there, reason346.. havent listened to dear elliott for a few weeks...overdue..","Need a tickettttt  Gah. Ya you`ve got me on there, reason346.. Haven`t listened to dear Elliott for a few weeks...overdue..",0,-1
 no they didnt, no they didn`t!,-1,0
_ i dont see how there could possibly be another choice.,_ I don`t see how there could possibly be another choice.,0,-1
"   oh chris, so sorry about mr. raccoon. obviously not a female, cuz any female of any specie would adore you.   hugs, angel","   Oh Chris, so sorry about Mr. Raccoon. Obviously NOT a FEMALE, cuz any female of ANY SPECIES would adore you.   Hugs, Angel",-1,0
 me too  thats why im driving down to cali in july for hin pleasanton., me too  Thats why im driving down to Cali in July for HIN Pleasanton.,-1,0
"catching the last bit of later with jools .. last in series .. sob, cry","catching the last bit of Later with jools .. last in series .. sob, cry",0,-1
man i cant stop being freakin hungry,Man! I can`t stop being freakin` hungry!,-1,0
my goodness i go single and **** go crazy haha. **** this. i like being single too much. i do what i want...holla,My goodness! I go single and **** goes crazy! Haha. **** this. I like being single too much. I do what I want...holla!,-1,1
i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.,i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.,0,-1
 better than nodding off when youre 'in' one  lol, Better than nodding off when you`re 'IN' one  LOL,1,0
 lol... she is fine the way she is  how ha your weekend been?, Lol... She is fine the way she is  How has your weekend been?,0,1
"fantastic weekend - hairdressers, stylish luncheon & a fabulous girlie night with wine, cheese & chocolates...and dancing till morning","Fantastic weekend - hairdressers, stylish luncheons & a Fabulous girlie night with wine, cheeses & chocolates...And dancing till morning",0,1
" - well i greatly appreciate your comment.  that mean a lot to me.  im working on both of them...work in progress, you know."," - well i greatly appreciate your comment.  That means a lot to me.  I`m working on both of them...work in progress, you know.",-1,1
" hmmm, i thought u were sleeping too bad i cant see those video until tomorrow night."," hmmm, I thought u were sleeping!! Too bad I can`t see those videos until tomorrow night.",0,-1
 twee tweet...lol, twee tweet...lol,1,0
laying in the bed boreddddd looking through old cookbook for new recipe,Laying in the bed boreddddd looking through old cookbooks for new recipes,0,-1
geometry is so **** boring.  waste of time.. 20 more minute left,Geometry is so **** boring.  waste of time.. 20 more minutes left,0,-1
 sure i willl ...., sure i willl ....,1,0
_uppercut that wa such an old man thing to say,_uppercut that was such an `old man` thing to say,-1,0
itts the big time saturday night  playing canasta then a movie then...psych homework?  stay shiny and love everybody,Itt`s the BIG TIME Saturday night  Playing Canasta then a movie then...Psych homework?  Stay shiny and love everybody!!,0,1
_om 'if i should paint my fingernail green- oh and it just so happens i do paint them green...'  marvelous,_om 'If I should paint my fingernails green- oh and it just so happens I do paint them green...'  Marvelous,-1,1
were you born in a barn? would you like some hay? 8-)(8) youtube the mother song,were you born in a barn? would you like some hay? 8-)(8) youtube the mother song,1,0
just picked up her blackberry from the middle of the street both she and it are crushed,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,0,-1
"just booked my ticket for london on thursday, im so exicted","Just booked my tickets for London on thursday, i`m so exicted",-1,1
 cant wait to do some of those thing, Cant wait to do some of those things,0,1
 look like both to me alison., Looks like both to me Alison.,-1,0
finallyy done  and done cleann layn down time 4 bed.. goshh it 3 oclock  lol nite nite twitta head,Finallyy done !! And done clean`n lay`n down time 4 bed.. goshh its 3 o`clock !! Lol nite nite twitta heads,1,0
it official- the twilight saga ha ended...*sigh*...my life is empty,it`s official- the Twilight Saga has ended...*sigh*...my life is empty!,-1,0
"not feeling very good at all, why doe this have to happen today of all days? not going to friend tonight","Not feeling very good at all, why does this have to happen today of all days? Not going to friends tonight",-1,1
yay  i wa supposed to be there next weekend. but it off now.   but ima make it out there...i <3 philly.,YAY!!  I was supposed to be there next weekend. But its off now.   But I`ma make it out there...I <3 Philly.,0,1
you wanna know whats worse... my coworker just brewed a fresh cup of coffee and all i can think about is bacon,you wanna know what`s worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon,0,-1
chris sab and i = comme estas ****,chris sab and i = COMME ESTAS ****,0,-1
" yeah, i much prefer tweetdeck but if you must have multiple account"," yeah, I much prefer tweetdeck but if you must have multiple accounts",0,1
i just dyededed my hair,I just dyededed my hair,-1,0
 i use newsfire. work like a charm, I use NewsFire. Works like a charm,0,1
i just had to look up endometriosis. oy,I just had to look up endometriosis. Oy!,0,-1
'im giving up on you. i dont care how you mess up your life now.'... :(,'I`m giving up on you. I don`t care how you mess up your life now.'... :`(,0,-1
need a yummy breakfast after her shift,Needs a yummy breakfast after her shift,0,1
love it when mom and dad come to visit nothin better,loves it when mom and dad come to visit! nothin better,1,0
"how did i give birth to a screamer?? i hate screaming child i guess i hate screaming child besides my own, now.","How did I give birth to a SCREAMER?? I hate screaming children!! I guess I hate screaming children besides my own, now.",0,-1
" what on earth happened to wentworths page?? im devastated, a im sure all of his fan are"," what on earth happened to wentworth`s page?!? i`m devastated, as i`m sure ALL of his fans are!",0,-1
"  ow, rug burn","#3wordsaftersex  Ow, rug burns",-1,0
i just got a wiff of pazik fart,I just got a wiff of pazik fart!,0,-1
" hahaha is he snoring, too?"," Hahaha! Is he snoring, too?",0,1
" come home, then. not so boring here."," come home, then. Not so boring here.",0,-1
" no your not  they are very cute, how you going being a daddy?"," no your not  they are very cute, how you going being a daddy?",-1,1
sitting at home...need to be pricing the garage sale items...but i have no help so it boring by myself,sitting at home...need to be pricing the garage sale items...but i have no help so its boring by myself,0,-1
 apparently  havent tried the site tho. maybe will get better results., apparently!  Haven`t tried the site tho. Maybe will get better results.,0,1
noooo   all summer? i wont see your charming little face all summer?,noooo!   all summer?! I won`t see your charming little face ALL summer?!,1,-1
 you know what?  that cowboy hat in your pic made me smile today (you dont see many of those in japan), You know what?  That cowboy hat in your pic made me smile today (you don`t see many of those in Japan),0,1
im super hungry waiting for my biotch to feed me.,I`m super hungry! Waiting for my biotch to feed me.,-1,0
seeing love at the club actually made me,Seeing `Love at the Club` actually made me,1,0
"youre not the only one surprised that freetds and utf-8 dont 'just work'. but youll get it right, eventually.","You`re not the only one surprised that FreeTDS and UTF-8 don`t 'just work'. But you`ll get it right, eventually.",-1,1
what a wonderful day...i am going to sleep so well tonight,what a wonderful day...i am going to sleep so well tonight,-1,1
 yes... nice. i missed a lot of fun. **** exams. you are looking good...hair, yes... nice. I missed a lot of fun. **** exams. you are looking good...hair,1,0
" oh, i dont really have much of an opinion on her either way. it just a night to rip everything."," Oh, I don`t really have much of an opinion on her either way. It`s just a night to rip everything.",-1,0
_lpz yeah text me i wnat to go but my car is broken,_lpz yeah text me!!! i wnat to go!!!!! but my car is broken!!,0,-1
lucy is hating on my gweg,LUCY IS HATING ON MY GWEG!,0,-1
"ok, when will this post rny girl learn; rich sugary food is a bad idea no more golden graham bar out of the vending machine. bleck","OK, when will this post RNY girl learn; rich sugary food is a BAD idea! No more golden graham bars out of the vending machine. Bleck!",0,-1
just found out that my husband grandma fell down the stair & is at the hospital with several broken bones...praying hard,just found out that my husband`s grandma fell down the stairs & is at the hospital with several broken bones...praying hard!,0,-1
quick thoughts. tired. happy. satisfied. entertained. excited. oh... and a bit in love,Quick thoughts. Tired. Happy. Satisfied. Entertained. Excited. Oh... and a bit in love,1,0
im way to hungry to even think. i cant go to work on an empty stomach like this,I`m way to hungry to even think. I can`t go to work on an empty stomach like this,-1,0
 why am i weird?, why am I weird?,0,-1
arrogant **** on tap in oregon. what,Arrogant **** on tap in Oregon. WHAT!!!!!!,0,-1
"woe, it definitely no fun to travel first class with a bike. you have to fight your way through 7 coach til you reach your seat","Woe, it`s definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches `til you reach your seat",1,-1
 boring? what? ugh  come back to of then, Boring? What?! Ugh!!!  come back to of then!,0,-1
off for a run. moon-day is not that bad after all...  ,off for a run. moon-day is not that bad after all...  #fb,-1,0
" very much so  you know i am coming now on thursday too right, are there door sale ??"," very much so  You know I am coming now on Thursday too right, are there door sales ??",-1,0
there only one more cherry dr. pepper left in the fridge...thank god. im addicted to that stuff but it doe sad thing to my skin.,there`s only one more cherry dr. pepper left in the fridge...thank God. im addicted to that stuff but it does sad things to my skin.,-1,0
_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill  it very very warm in the shop x,_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill!  its very very warm in the shop! x,1,-1
hey  presentation wa too large to post  sorry   (from rule to entities: cataloguing with rda live > ,Hey #rda2009cla presentation was too large to post!  sorry   (From rules to entities: cataloguing with RDA live > http://ustre.am/2j3l),0,-1
safer to say that your cube is now a sphere ... but roll with it buddy ... it is an awesome time ... esp the 1st one,safer to say that your cube is now a sphere ... but roll with it buddy ... it is an awesome time ... esp the 1st one,0,1
kellie: it a major problem okay. alex: what is? kellie: hahahahahahahaa your face,kellie: Its a major problem okay. alex: what is? Kellie: hahahahahahahaa your face,0,1
i left my ipod in the car so now it all warm.,I left my ipod in the car so now its all warm.,0,1
"season 1 of lie to me wa serious. ****, now here come the wait.","Season 1 of Lie To Me was serious. ****, now here comes the wait.",1,0
i slept through my alarm  woke up at 6 instead of 4  i feel like a complete tool,I SLEPT THROUGH MY ALARMS  woke up at 6 instead of 4  i feel like a complete tool,0,1
" you lucky girl i also wanna see them (again lol) i wish theyd come to europe again, but i doubt that"," You lucky girl! I also wanna see them (again LOL) I wish they`d come to europe again, but I doubt that",1,0
wave would trend higher that bing,wave would trend higher that bing,1,0
": what, youre not really an alcoholic? i am v. disappointed d: seriously, though, i got that you were kidding.",": What, you`re not really an alcoholic? I AM V. DISAPPOINTED! D: Seriously, though, I got that you were kidding.",0,-1
" wow, you mom ha a lot of energy. im getting tired just reading your tweet and ur living it."," Wow, you mom has a lot of energy. I`m getting tired just reading your tweet and ur living it.",1,-1
argggggg car crash tv it just sooooooooo horrible to see her like that  ,argggggg car crash tv its just sooooooooo horrible to see her like that  #bgt,0,-1
   good point mine is on it way. how did he get delivered?  i will post pic too wen i get him,   good point!! Mine is on its way. How did he get delivered?  I will post pics too wen I get him,0,1
 their coming tomorrow morning and it sort of an impossible task. i just need to clear some space. thanks though, Their coming tomorrow morning and it`s sort of an impossible task. I just need to clear some space. Thanks though,1,0
" yes fb, ah i miss you"," yes! fb, ah i miss you",0,-1
"and she wa all like 'dude. i care about you.' and it made me smile  yea that teach me not to drive on e, lol","and she was all like 'dude. I care about you.' and it made me smile  yea that teaches me not to drive on E, lol",0,1
_aguirre now i wish i wa going,_aguirre Now I wish I was going,0,1
"so, what are you all doing? im eating cracker yummy. the unsalted one of course. i only do salt in my caviar.","So, what are you all doing? I`m eating crackers! Yummy. The unsalted ones of course. I only do salt in my caviar.",-1,1
"omg. i got a explosion of new followers, hello new follower","OMG. I got a explosion of new followers, hello new followers",1,0
all dressed up and no where to go...,all dressed up and no where to go...,0,-1
watching 5 child and it.  i really should be studying. ill start soon :[,Watching 5 children and it.  i really should be studying. I`ll start soon :[,0,-1
"ok, ive eaten some food and now bored to death in my room. seriously, there is nothing to do. guitar been taken to the venue","Ok, i`ve eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",0,-1
 psych ha to be better than neuro  or at least in a better part of town?  i miss you, Psych has to be better than neuro!  Or at least in a better part of town?  I miss you,0,-1
it raining that fine rain u know the fine rain that wet you the most,It`s raining that fine rain!!! U know the fine rain that wets you the most,0,1
 sorry missed your post earlier about edinburgh.  i am biased towards it awesomeness  glad you enjoyed your visit, sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit,1,0
apparently it 21 degree in kilkenny now and some comedy would be a great remedy to my boredom why the hell did i leave kilkenny?,Apparently it`s 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,1,-1
" lol...oh, man, can i un-twit something? haha i mean my lean mean fighting machine. i sooo cant believe you called me out"," LOL...oh, man, can I un-twit something? haha! I mean my lean mean fighting machine. I sooo can`t believe you called me out!",-1,0
  i wlda seen it wit you dummyhead.,  i wlda seen it wit you! dummyhead.,0,-1
 no it doesnt...sheesh, no it doesn`t...sheesh,-1,0
"_dinasadik forensic mein kya hai ba rat te jaao  and micro?havin a micro exam soon,the lab diagnosis of all d individual bacteria","_DinaSadik forensic mein kya hai! bas rat te jaao  and micro?havin a micro exam soon,the lab diagnosis of all d individual bacteria!",1,0
im so proud of my nau graduate friend were getting ready to celebrate  tonight itll be an international ordeal~,I`m so proud of my NAU graduate friend!!! We`re getting ready to celebrate  tonight!!! It`ll be an international ordeal~,0,1
_it_good den fell asleep on me,_it_good den fell asleep on me!!!,0,1
_roe oh well.  ive never seen him do anything before so im not gonna say anything.,_roe oh well.  I`ve never seen him do anything before so I`m not gonna say anything.,-1,0
getting all annoyed co this weekend going to be hot. im bloody working,Getting all annoyed cos this weekend`s going to be hot. I`m bloody working,0,-1
_rockett i know and he laughed at the stupid womens right joke. wth glad we have the same humor,_rockett i know! And he laughed at the stupid `women`s right`s` joke. Wth! Glad we have the same humor!,0,1
 i guess ill never have it  but the sad thing is that u didnt put an alternate e-mail cause if u dont remember ur secret, i guess ill never have it  but the sad thing is that u didn`t put an Alternate e-mail!! cause if u dont remember ur secret,0,-1
"haha, it under 18 :@ so ive got no one to go with  curse none of my friend liking tai lol","haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",0,-1
poor baby girl chloe is freaking out because of all of the noise  she so cute and pitiful hiding under the middle of the table,poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!,-1,0
  yeah the spammer are discriminating: none of the female  are part of the target group apparently,  Yeah the spammers are discriminating: none of the females  are part of the target group apparently,0,-1
 would you believe that im done with homework for the rest of my life?, Would you believe that I`m done with homework for the rest of my life?,1,0
 i love it. tell me it didnt match my shirt perfectly. can you just not move please? what am i supposed to do without you?, I love it. Tell me it didn`t match my shirt perfectly. Can you just not move PLEASE? What am I supposed to do without you?,-1,1
 i know exactly what you are saying.. it so not cool... that is why tape were better  :p, I know exactly what you are saying.. its so not cool... that is why tapes were better  :p,1,0
"i did dat 1 time & my bos text me saying, 'tweet me n my office after dis tweeting is ova' i havent dun it since.","i did dat 1 time & my boss text me saying, 'tweet me n my office after dis tweeting is ova!' i havent dun it since.",-1,0
roughnight,roughnight,0,-1
" if i can buy sleep for you, i will... thats what you need"," if i can buy sleep for you, i will... that`s what you need!",0,1
rainy day is rainy.,Rainy day is rainy.,-1,0
 do i discern a request for hulu support? excellent idea, do I discern a request for Hulu support? excellent idea!,0,1
"finally feel like a nice summer day, and im feeling sick","Finally feels like a nice summer day, and I`m feeling sick",1,0
: no im not going.,: no i`m not going.,-1,0
i tried calling work 5 time and they wont answer,i tried calling work 5 times and they wont answer,0,-1
"when someone edit your design is called plagiarism right??, but what can you do??, im tired, exhausted and dissapointed","When someone edit your designs is called plagiarism right??, but what can you do??, I`m tired, exhausted and dissapointed",0,-1
want somebody to cheer her up,Wants somebody to cheer her up,0,1
"7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon","7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon",0,-1
just woke from the longest sleep in months-so nice now to get some work done so im prepped for next wk & free for k coming home tonight,Just woke from the longest sleep in months-so nice! Now to get some work done so i`m prepped for next wk & free for K coming home tonight,0,1
 nah will didnt tell diego so we at some donminican spot getting **** up, nah will didn`t tell diego so we at some donminican spot getting **** up,0,-1
i keep pulling out my knitting at my desk and then putting it back.  not good  not good    t-minus 15 minute till release........,I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........,0,-1
my music collection will be coming up to 250gb soon.  haha,my music collection will be coming up to 250gb soon.  haha,1,0
   me too.  it depresses me thinking about it.,   me too.  it depresses me thinking about it.,0,1
u so funny but u right i like bsb but im not a fan than u i love much better tupac & tlc..2 bad theyre not singing anymore,U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,1,0
damm server still down  i need to hit 80 before all the koxpers pas me,Damm servers still down  i need to hit 80 before all the koxpers pass me,0,-1
 same and big moth and wasp and just insect in general haha i hate them, Same! And big moths and wasps and just insects in general HAHA I hate them,0,-1
sunniest day in age and im in bed,sunniest day in ages and im in bed,-1,0
 **** how you not gonna follow me son?, **** how you not gonna follow me son?,0,-1
 me too... it go to my phone so all night long sometimes my phone is blowing up... so nice to wake up to, me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!,-1,0
pretty sure my kitty missed me...one is laying on me and the other 2 are on each side of me. they are so cute though.,Pretty sure my kitties missed me...one is laying on me and the other 2 are on each side of me. They are so cute though.,-1,1
"thats true. unfortunately, the lead in the movie dont die on such a high note. it more the friday the 13th model","That`s true. Unfortunately, the leads in the movies don`t die on such a high note. It`s more the Friday The 13th model",0,-1
i havent been out west since 07...i think i picked a bad wknd b/c it overcast out here tho,i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho,0,-1
1st day of master cleanse...wish me luck,1st day of master cleanse...wish me luck,1,0
"  i think it because im always offtopic and sometimes inappropriate (germination and 'fruit picking' jokes, etc)","  I think it`s because I`m always offtopic and sometimes inappropriate (germination and 'fruit picking' jokes, etc)",0,-1
i cried like a baby when we had to put our cat down 2 year ago...  for tear of happiness watch this ,I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe,0,1
my sunburn itch  ouch,My sunburn itches  ouch,0,-1
"alright, i think it time for bed...even though ill probably surf the net for another hour before i go to sleep lol goodnight","Alright, I think it`s time for bed...even though I`ll probably surf the net for another hour before I go to sleep lol! Goodnight",0,1
watching chelsea lately  loveeeee her <3,watching chelsea lately!  loveeeee her <3,0,1
 welcome home babe, welcome home babe!,0,1
oh and i forgot my cell at home  thankgod for this crackberry,oh and i forgot my cell at home  thankgod for this crackberry,-1,0
" awww ) whered you get that? hugh is so thin. no trace of being wolverine yet. btw, who that other guy besides rdj?"," awww ) where`d you get that? hugh is so thin. no traces of being wolverine yet. btw, who`s that other guy besides RDJ?",-1,0
off to bed still exhausted from vega,Off to bed!! Still exhausted from Vegas,0,-1
_thrifty ebay 10 mile rule not working for me.  too many pair of leather trouser being sold in aberdeen. will try next week.,_Thrifty eBay 10 mile rule not working for me.  Too many pairs of leather trousers being sold in Aberdeen. Will try next week.,-1,0
"possible case of h1n1 at ft. knox (ky)  note: this is for info purpose only, so there still no need to panic","Possible case of H1N1 at Ft. Knox (KY) http://tiny.cc/gNYq7. Note: this is for info purposes only, so there`s still no need to panic",-1,0
i have to start eating healthy,I have to start eating healthy,0,1
oh and cali plan are a go i might get to see da too and shes my hero and rock my sock,Oh and Cali plans are a GO! I might get to see DA too and she`s my hero and rocks my socks,0,1
finally i have finished my tec recipe card and i feel somewhat accomplished,Finally i have finished my tec recipe card and i feel somewhat accomplished,-1,1
" look like you did the full lincoln marathon yesterday? that is awesome, the hm wa tough for me"," Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me",1,0
_aloud  and that hindi flick 99 that came out a couple of week ago that never made it to the uk,_aloud  and that hindi flick `99` that came out a couple of weeks ago that never made it to the UK,0,-1
 could be., could be.,1,0
  god you guys...ill call you guys...three way. to discuss.,  god you guys...i`ll call you guys...three way. to discuss.,1,0
 i do now lol., I do now LOL.,0,1
"aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory full. plus i wanna take it 2 sa this commin weekend.","aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory`s full. plus i wanna take it 2 SA this commin weekend.",-1,1
" shoot, rob i missed it. just got home."," Shoot, Rob I missed it. Just got home.",0,-1
"i would do a , but everyone on my list is already on everyone elses list so whats the point?  im just not popular enough.","I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what`s the point?  I`m just not popular enough.",-1,0
"_crazyangel gah   but gregg should have got the hot and talented vote, dammit","_crazyangel Gah   But Gregg should have got the hot and talented vote, dammit!",0,-1
_2008 thanks  there a men version in june. it very popular.,_2008 thanks  there`s a men`s version in June. It`s very popular.,1,0
 sorrry  im ready to leave., Sorrry  I`m ready to leave.,0,-1
"right my fellow fluffy flasher i must go to bed, sorry  i hope everything is working properly 2moro and we can chat love u x","right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x",1,0
 yeah they are so stop making fun of me i gotta get new one, Yeah they are! So stop making fun of me! I gotta get new ones,0,-1
*pokes and run away* ... i want sugar ,*pokes and runs away* ... I WANT SUGAR !,0,-1
